Name EN,Name AR,Category EN,Category AR,Description EN,Description AR,Price,Currency,Sizes,Weight,Metadata,Available
Grilled Chicken Croissant,كرواسون الدجاج المشوي,Croissant,كرواسون,"Fresh croissant stuffed with tender grilled chicken, aromatic garlic and herb sauce, and fresh vegetable slices. Crispy golden crust on the outside and a delicious filling inside.",كرواسون طازج محشو بالدجاج المشوي الطري وصوص الثوم والأعشاب العطرية وشرائح الخضار الطازجة. قشرة ذهبية مقرمشة من الخارج وحشوة لذيذة من الداخل.,299.00,EGP,Regular,140 gram,,1
Pistachio And Nutella Croissant,كرواسون الفستق والنوتيلا,Croissant,كرواسون,"Freshly baked daily croissant with a crispy and flaky dough, filled with smooth pistachio halbi paste and rich Nutella cream. Served warm for a unique taste and texture experience.",كرواسون يُخبز يومياً بعجينة مقرمشة وهشة، محشو بمعجون الفستق الناعم وكريمة النوتيلا الغنية. يُقدم دافئاً لتجربة طعم ونسيج فريدة.,174.00,EGP,Regular,141 gram,,1
Tuna Croissant,كرواسون التونة,Croissant,كرواسون,"Fresh croissant stuffed with premium tuna mixed with a delicious creamy sauce and fresh vegetables, served hot with a delicious taste and a crispy, crunchy texture.",كرواسون طازج محشو بالتونة الفاخرة ممزوجة بصوص كريمي لذيذ وخضار طازجة، يُقدم ساخناً بطعم رائع وقوام مقرمش.,299.00,EGP,Regular,142 gram,,1
Nutella Croissant,كرواسون النوتيلا,Croissant,كرواسون,"Fresh, crispy croissant with golden butter layers, filled with rich Nutella, a delicious chocolate and hazelnut flavor, served warm.",كرواسون طازج ومقرمش بطبقات زبدة ذهبية، محشو بالنوتيلا الغنية بنكهة الشوكولاتة والبندق اللذيذة، يُقدم دافئاً.,169.00,EGP,Regular,143 gram,,1
Zaatar Croissant,كرواسون الزعتر,Croissant,كرواسون,"Freshly baked prepare daily, this croissant features a flaky, buttery dough with multiple layers filled with premium zaatar and extra virgin olive oil. Served warm and fresh from the oven.",يُخبز يومياً، هذا الكرواسون بعجينة هشة وزبدية متعددة الطبقات محشوة بزعتر فاخر وزيت زيتون بكر ممتاز. يُقدم دافئاً وطازجاً من الفرن.,149.00,EGP,Regular,144 gram,,1
Blue Cheese Croissant,كرواسون الجبن الأزرق,Croissant,كرواسون,"Freshly made croissants daily with a flaky and crispy crust, filled with premium blue cheese and smooth cream, served warm for a unique and delicious taste experience.",كرواسون يُصنع يومياً بقشرة هشة ومقرمشة، محشو بالجبن الأزرق الفاخر والكريمة الناعمة، يُقدم دافئاً لتجربة طعم فريدة ولذيذة.,154.00,EGP,Regular,145 gram,,1
Smoked Salmon Croissant,كرواسون السلمون المدخن,Croissant,كرواسون,"Freshly baked and prepared daily croissant with a crispy buttery dough, stuffed with premium smoked salmon fish, with smooth cream cheese, pickled cucumber slices, and fresh dill sauce.",كرواسون يُخبز ويُحضر يومياً بعجينة زبدية مقرمشة، محشو بسمك السلمون المدخن الفاخر وجبنة الكريمة الناعمة وشرائح الخيار المخلل وصوص الشبت الطازج.,299,EGP,Regular,146 gram,,1
Almond Croissant,كرواسون اللوز,Croissant,كرواسون,"Luxurious almond croissant made with multi-layered buttery dough, filled with finely toasted almonds, served hot with a dusting of shimmering powdered sugar.",كرواسون لوز فاخر بعجينة زبدية متعددة الطبقات، محشو باللوز المحمص الناعم، يُقدم ساخناً مع رشة من السكر البودرة اللامع.,179,EGP,Regular,147 gram,,1
Smoked Turkey And Beef Croissant,كرواسون الديك الرومي المدخن واللحم,Croissant,كرواسون,"Fresh croissant filled with delicious smoked turkey and seasoned beef, rich aromatic flavors, served hot with a delicious special sauce.",كرواسون طازج محشو بالديك الرومي المدخن واللحم المتبل بنكهات عطرية غنية، يُقدم ساخناً مع صوص خاص لذيذ.,214,EGP,Regular,148 gram,,1
Pain Swiss Croissant,كرواسون بان سويس,Croissant,كرواسون,"A luxurious Swiss croissant with thin, crispy layers, made from the finest butter. It features a rich taste and a smooth, melt-in-your-mouth texture. Served fresh and warm.",كرواسون سويسري فاخر بطبقات رقيقة ومقرمشة، مصنوع من أجود أنواع الزبدة. يتميز بطعم غني وقوام ناعم يذوب في فمك. يُقدم طازجاً ودافئاً.,154,EGP,Regular,149 gram,,1
Pistachio Croissant,كرواسون الفستق,Croissant,كرواسون,"Fresh, crispy pistachio croissant with golden buttery layers, filled with a smooth, rich pistachio filling. Served warm with a light sugar syrup.",كرواسون فستق طازج ومقرمش بطبقات زبدية ذهبية، محشو بحشوة فستق غنية وناعمة. يُقدم دافئاً مع قطر خفيف.,174,EGP,Regular,150 gram,,1
Pastrami Croissant,كرواسون البسطرمة,Croissant,كرواسون,"A fresh and crispy croissant filled with delicious pastrami and melted cheese, served hot for a delightful and tasty breakfast experience.",كرواسون طازج ومقرمش محشو بالبسطرمة اللذيذة والجبنة المذابة، يُقدم ساخناً لتجربة فطور مبهجة وشهية.,174,EGP,Regular,151 gram,,1
Fresh Plain Croissant,كرواسون سادة طازج,Croissant,كرواسون,"Fresh plain croissant, prepared daily with flaky dough and multiple layers, crispy on the outside and soft on the inside. Served hot with butter and jam.",كرواسون سادة طازج، يُحضر يومياً بعجينة هشة ومتعددة الطبقات، مقرمش من الخارج وناعم من الداخل. يُقدم ساخناً مع الزبدة والمربى.,135,EGP,Regular,152 gram,,1
Turkey Midnight,توست منتصف الليل بالديك الرومي,Appetizers,مقبلات,Toast bread and smoked turkey bread with cheddar cheese yellow and mustard sauce,خبز توست وخبز ديك رومي مدخن مع جبن شيدر أصفر وصوص خردل,225,EGP,Regular,153 gram,,1
Eggplant,باذنجان,Appetizers,مقبلات,"Grilled eggplant with bolognese sauce, mozzarella",باذنجان مشوي مع صوص بولونيز وجبن موزاريلا,220,EGP,Regular,154 gram,,1
Stage Combo,كومبو ستيج,Appetizers,مقبلات,"3 pieces of chicken strips, 3 pieces of mozzarella sticks 3 pieces of shrimp nachos and 2 sauces of your choice",3 قطع شرائح دجاج، 3 قطع عيدان موزاريلا، 3 قطع ناتشوز جمبري وصوصان من اختيارك,330,EGP,Regular,155 gram,,1
Chicken Quesadillas,كيساديلا دجاج,Appetizers,مقبلات,,,176,EGP,Regular,156 gram,,1
Chicken Popcorn,دجاج بوبكورن,Appetizers,مقبلات,"Fried chicken balls, cheese, honey mustard sauce",كرات دجاج مقلية، جبن، صوص عسل وخردل,195,EGP,Regular,157 gram,,1
Petzita,بيتزيتا,Appetizers,مقبلات,Vegetables + pepperoni + tomato basil,خضار + بيبروني + ريحان طماطم,189,EGP,Regular,158 gram,,1
Onion Rings,حلقات البصل,Appetizers,مقبلات,,,99,EGP,Regular,159 gram,,1
Fries,بطاطس مقلية,Appetizers,مقبلات,French fries,بطاطس مقلية,85,EGP,Regular,160 gram,,1
Mozzarella Sticks,عيدان الموزاريلا,Appetizers,مقبلات,,,105,EGP,Regular,161 gram,,1
Bruschetta,برسكيتا,Appetizers,مقبلات,"Toasted baguette bread with black olives, tomatoes and parmesan cheese",خبز باغيت محمص مع زيتون أسود وطماطم وجبن البارميزان,146,EGP,Regular,162 gram,,1
Taquitos,تاكيتوس,Appetizers,مقبلات,Tortilla bread stuffed with minced meat and cheese mix cheddar with barbecue sauce,خبز تورتيلا محشو بلحم مفروم وخليط جبن شيدر مع صوص باربيكيو,185,EGP,Regular,163 gram,,1
Hickory Chicken Wings,أجنحة دجاج هيكوري,Appetizers,مقبلات,Fried chicken wings with smoked barbecue sauce served with sweet sour cream,أجنحة دجاج مقلية مع صوص باربيكيو مدخن تُقدم مع كريمة حامضة حلوة,185,EGP,Regular,164 gram,,1
Fresh Lemon Juice,عصير ليمون طازج,Juices,عصائر,"Fresh, refreshing lemon with a citrus, balanced taste, for summer days.",ليمون طازج ومنعش بنكهة حمضية متوازنة، مثالي لأيام الصيف.,109,EGP,Regular,165 gram,,1
"Fresh Banana, Milk, Honey Juice",عصير موز طازج بالحليب والعسل,Juices,عصائر,"Fresh banana blended with milk and honey for a rich, naturally sweet taste.",موز طازج ممزوج بالحليب والعسل لطعم غني وحلو بشكل طبيعي.,134,EGP,Regular,166 gram,,1
Fresh Orange Juice,عصير برتقال طازج,Juices,عصائر,Natural orange juice rich in vitamin c with a sweet and refreshing taste,عصير برتقال طبيعي غني بفيتامين ج بطعم حلو ومنعش,119,EGP,Regular,167 gram,,1
Fresh Lemon Mint Juice,عصير ليمون بالنعناع الطازج,Juices,عصائر,Fresh lemon blended with green mint for a refreshing and cooling taste.,ليمون طازج ممزوج بالنعناع الأخضر لطعم منعش ومبرد.,119,EGP,Regular,168 gram,,1
Fresh Guava Juice,عصير جوافة طازج,Juices,عصائر,Fresh guava blended to give you a creamy texture and flavor.,جوافة طازجة تُمزج لمنحك قوامًا ونكهة كريمية.,119,EGP,Regular,169 gram,,1
Fresh Mango Juice,عصير مانجو طازج,Juices,عصائر,Ripe mango blended into a juice rich in texture and tropical flavor.,مانجو ناضجة تُمزج في عصير غني بالقوام والنكهة الاستوائية.,135,EGP,Regular,170 gram,,1
Fresh Strawberry Juice,عصير فراولة طازج,Juices,عصائر,Natural strawberries blended for a sweet and refreshing juice with an aroma.,فراولة طبيعية تُمزج لعصير حلو ومنعش بعطر مميز.,135,EGP,Regular,171 gram,,1
Fresh Kiwi Juice,عصير كيوي طازج,Juices,عصائر,"Fresh kiwi blended into a sour, refreshing juice with a tropical style.",كيوي طازج يُمزج في عصير حامض ومنعش بأسلوب استوائي.,134,EGP,Regular,172 gram,,1
Fresh Guava Mint Juice,عصير جوافة بالنعناع الطازج,Juices,عصائر,Fresh guava with a touch of mint for a double freshness and taste.,جوافة طازجة مع لمسة نعناع لنضارة ونكهة مضاعفة.,119,EGP,Regular,173 gram,,1
Fresh Strawberry Milk Juice,عصير فراولة بالحليب,Juices,عصائر,Fresh strawberries blended with milk for a creamy and refreshing flavor.,فراولة طازجة ممزوجة بالحليب لنكهة كريمية ومنعشة.,119,EGP,Regular,174 gram,,1
Fresh Seasonal Watermelon Juice,عصير بطيخ موسمي طازج,Juices,عصائر,"Fresh, in-season watermelon juice, refreshing and sweet with a natural flavor.",عصير بطيخ موسمي طازج، منعش وحلو بنكهة طبيعية.,114,EGP,Regular,175 gram,,1
Fresh Guava Milk Juice,عصير جوافة بالحليب الطازج,Juices,عصائر,A creamy blend of guava and milk for a rich and nutritious taste.,مزيج كريمي من الجوافة والحليب لطعم غني ومغذٍّ.,119,EGP,Regular,176 gram,,1
Iced Mocha,موكا مثلج,Ice Coffee,قهوة مثلجة,"A refreshing iced mocha that combines the taste of rich coffee and creamy chocolate with cold milk and Ice. Served cold, it perfect for hot days.",موكا مثلج منعش يجمع بين طعم القهوة الغنية والشوكولاتة الكريمية مع الحليب البارد والثلج. يُقدم بارداً، مثالي للأيام الحارة.,159,EGP,Regular,177 gram,,1
Iced Latte,لاتيه مثلج,Ice Coffee,قهوة مثلجة,"A refreshing iced latte made with rich coffee espresso, blended with cold milk, and Ice, topped with a smooth foam on surface.",لاتيه مثلج منعش مصنوع من إسبريسو قهوة غني، ممزوج بالحليب البارد والثلج، مغطى برغوة ناعمة على السطح.,159,EGP,Regular,178 gram,,1
Iced Coffee,قهوة مثلجة,Ice Coffee,قهوة مثلجة,"A refreshing and chilled iced coffee made from carefully selected coffee beans mixed with cold milk and Ice, served delicious cold, perfect for hot days.",قهوة مثلجة منعشة ومبردة مصنوعة من حبوب قهوة مختارة بعناية ممزوجة بالحليب البارد والثلج، تُقدم باردة لذيذة، مثالية للأيام الحارة.,159,EGP,Regular,179 gram,,1
Iced Americano,أمريكانو مثلج,Ice Coffee,قهوة مثلجة,"A refreshing iced americano made with strong espresso mixed with cold water and ICE, served with an authentic and true coffee flavor, perfect for hot summer days.",أمريكانو مثلج منعش مصنوع من إسبريسو قوي ممزوج بالماء البارد والثلج، يُقدم بنكهة قهوة أصيلة وحقيقية، مثالي لأيام الصيف الحارة.,159,EGP,Regular,180 gram,,1
Iced Cappuccino,كابتشينو مثلج,Ice Coffee,قهوة مثلجة,"A refreshing iced cappuccino combining the strength of authentic Arabic coffee with smooth cold milk and a layer of delicious creamy foam, served with cold Ice.",كابتشينو مثلج منعش يجمع بين قوة القهوة العربية الأصيلة والحليب البارد الناعم وطبقة من الرغوة الكريمية اللذيذة، يُقدم مع الثلج البارد.,159,EGP,Regular,181 gram,,1
Ice Spanish Latte,لاتيه إسباني مثلج,Ice Coffee,قهوة مثلجة,"Espresso, milk, and condensed milk served over ice.",إسبريسو وحليب وحليب مكثف يُقدم على الثلج.,159,EGP,Regular,182 gram,,1
Chocolate Pancakes,بانكيك الشوكولاتة,Pancake,بانكيك,Golden pancake layers topped with rich chocolate sauce.,طبقات بانكيك ذهبية مغطاة بصوص شوكولاتة غني.,132,EGP,Regular,183 gram,,1
Mixed Fruit Pancakes,بانكيك الفاكهة المشكلة,Pancake,بانكيك,Pancakes prepared with a fresh fruit mix for a variety of colors and flavors.,بانكيك محضر مع مزيج فاكهة طازجة لتنوع من الألوان والنكهات.,177,EGP,Regular,184 gram,,1
Mixed Berry Pancakes,بانكيك التوت المشكل,Pancake,بانكيك,Fresh pancakes garnished with a selection of berries and sour fruit sauce.,بانكيك طازج مزين بمجموعة مختارة من التوت وصوص الفاكهة الحامضة.,142,EGP,Regular,185 gram,,1
Honey Pancakes,بانكيك العسل,Pancake,بانكيك,Light pancakes served with natural honey for a simple and healthy taste.,بانكيك خفيف يُقدم مع عسل طبيعي لطعم بسيط وصحي.,132,EGP,Regular,186 gram,,1
Caramel Pancakes,بانكيك الكراميل,Pancake,بانكيك,Soft pancakes with a warm caramel layer that enriches the flavor with sweetness.,بانكيك طري مع طبقة كراميل دافئة تُثري النكهة بالحلاوة.,132,EGP,Regular,187 gram,,1
Pistachio Pancakes,بانكيك الفستق,Pancake,بانكيك,Pancakes topped with creamy pistachio sauce and roasted pistachio pieces.,بانكيك مغطى بصوص فستق كريمي وقطع فستق محمصة.,142,EGP,Regular,188 gram,,1
Lotus Pancakes,بانكيك اللوتس,Pancake,بانكيك,Soft pancakes topped with Lotus cream and crunchy biscuit pieces.,بانكيك طري مغطى بكريمة اللوتس وقطع بسكويت مقرمشة.,136,EGP,Regular,189 gram,,1
Spicy Pasta Chicken Cajun,باستا دجاج كاجون حارة,Pasta,باستا,"Pasta, chicken, cajun spices, colored pepper, pink sauce",باستا، دجاج، بهارات كاجون، فلفل ملون، صوص وردي,320,EGP,Regular,190 gram,,1
Linguine Shredded Beef,لينجويني لحم مفتت,Pasta,باستا,Pasta linguine pasta with demi-glace sauce imance meat and mushrooms,باستا لينجويني مع صوص ديمي غلاس واللحم المفتت والمشروم,389,EGP,Regular,191 gram,,1
Chicken Jalapeno Pasta,باستا الدجاج بالهالبينيو,Pasta,باستا,"Rosé sauce with fried chicken, jalapeno pepper, and parmesan cheese",صوص وردي مع دجاج مقلي وفلفل هالبينيو وجبن البارميزان,319,EGP,Regular,192 gram,,1
Pasta Two Face,باستا تو فيس,Pasta,باستا,"Mix pasta, red sauce and pesto sauce",خليط باستا، صوص أحمر وصوص بيستو,289,EGP,Regular,193 gram,,1
Spaghetti Pizziola Spicy,سباغيتي بيتزيولا حارة,Pasta,باستا,"Pasta, minced onion, pepper colors, sweet chili, sesame and salt black pepper",باستا، بصل مفروم، فلفل ملون، شيلي حلو، سمسم وفلفل أسود,292,EGP,Regular,194 gram,,1
Negresco,نيغريسكو,Pasta,باستا,"Pasta, chicken, mushroom, white sauce",باستا، دجاج، مشروم، صوص أبيض,315,EGP,Regular,195 gram,,1
Pasta Bolognese,باستا بولونيز,Pasta,باستا,Pasta - minced meat - red sauce - olive oil,باستا - لحم مفروم - صوص أحمر - زيت زيتون,259,EGP,Regular,196 gram,,1
Linguine Chicken Mushroom,لينجويني الدجاج والمشروم,Pasta,باستا,Pasta - chicken - mushroom - white sauce,باستا - دجاج - مشروم - صوص أبيض,277,EGP,Regular,197 gram,,1
Spicy Pasta Shrimp Cajun,باستا الجمبري كاجون الحارة,Pasta,باستا,"Shrimp cajun, colored pepper, pink sauce",جمبري كاجون، فلفل ملون، صوص وردي,377,EGP,Regular,198 gram,,1
Caprese Balsamic Salad,سلطة كابريزي بالبلسمك,Salads,سلطات,"Mix Green, with buffalo cheese and cherry tomatoes, Croutons bread and balsamic sauce",خضار مشكلة مع جبن بوفالو وطماطم كرزية وخبز كروتون وصوص البلسمك,220,EGP,Regular,199 gram,,1
Greek Salad,سلطة يونانية,Salads,سلطات,"Feta cheese, tomato, cucumber pepper colors, caputcha Lettuce, fresh onion rings",جبن فيتا، طماطم، خيار، فلفل ملون، خس كابوتشا، حلقات بصل طازجة,155,EGP,Regular,200 gram,,1
Burrata Salad,سلطة بوراتا,Salads,سلطات,"Green mix with Croutons bread and fresh onions, roasted almonds and burrata cheese",خضار خضراء مشكلة مع خبز كروتون وبصل طازج ولوز محمص وجبن البوراتا,320,EGP,Regular,201 gram,,1
Roka Salad,سلطة الجرجير,Salads,سلطات,"Watercress, cherry tomato, parmesan cheese, fresh mushroom",جرجير، طماطم كرزية، جبن بارميزان، مشروم طازج,192,EGP,Regular,202 gram,,1
Tuna Salad,سلطة التونة,Salads,سلطات,"Tuna, lettuce, pepper colors, olive, onion rings",تونة، خس، فلفل ملون، زيتون، حلقات بصل,245,EGP,Regular,203 gram,,1
Chicken Caesar Salad,سلطة سيزر بالدجاج,Salads,سلطات,"Lettuce, Croutons bread, chicken, Caesar sauce",خس، خبز كروتون، دجاج، صوص سيزر,275,EGP,Regular,204 gram,,1
Green Salad,سلطة خضراء,Salads,سلطات,"Lettuce, cucumber, watercress, green bell pepper, tomato",خس، خيار، جرجير، فلفل أخضر، طماطم,99,EGP,Regular,205 gram,,1
Taco Salad,سلطة تاكو,Salads,سلطات,"Mix green with grilled chicken, cheddar cheese and mix smoke turkey and smoke beef, sweet corn and tortilla bread",خضار مشكلة مع دجاج مشوي وجبن شيدر وخليط ديك رومي مدخن ولحم مدخن وذرة حلوة وخبز تورتيلا,269,EGP,Regular,206 gram,,1
Double French Coffee,قهوة فرنسية دبل,Hot Coffee,قهوة ساخنة,A larger serving of strong coffee prepared using a French press.,حصة أكبر من القهوة القوية محضرة باستخدام الفرنش برس.,144,EGP,Regular,207 gram,,1
Turkish Coffee,قهوة تركية,Hot Coffee,قهوة ساخنة,"Finely ground coffee beans brewed unfiltered, offering a strong, rich flavor.",حبوب قهوة مطحونة ناعماً تُحضر بدون تصفية لطعم قوي وغني.,129,EGP,Regular,208 gram,,1
Mocha With Caramel,موكا بالكراميل,Hot Coffee,قهوة ساخنة,A coffee and chocolate drink with milk and caramel.,مشروب قهوة وشوكولاتة بالحليب والكراميل.,153,EGP,Regular,209 gram,,1
Double Turkish Coffee,قهوة تركية دبل,Hot Coffee,قهوة ساخنة,"Finely ground coffee, prepared in the traditional Turkish style, served as a double portion.",قهوة مطحونة ناعماً، محضرة على الطريقة التركية التقليدية، تُقدم كحصة مضاعفة.,119,EGP,Regular,210 gram,,1
Spanish Latte,لاتيه إسباني,Hot Coffee,قهوة ساخنة,Espresso with steamed milk and sweetened condensed milk.,إسبريسو مع حليب مبخر وحليب مكثف محلى.,153,EGP,Regular,211 gram,,1
Micato,ميكاتو,Hot Coffee,قهوة ساخنة,"Fresh avocado blended with milk and honey for a creamy, sweet drink.",أفوكادو طازج ممزوج بالحليب والعسل لمشروب كريمي وحلو.,123,EGP,Regular,212 gram,,1
Mocha,موكا,Hot Coffee,قهوة ساخنة,"A blend of espresso, chocolate, and steamed milk.",مزيج من الإسبريسو والشوكولاتة والحليب المبخر.,153,EGP,Regular,213 gram,,1
Nescafe,نسكافيه,Hot Coffee,قهوة ساخنة,Classic instant coffee served hot.,قهوة فورية كلاسيكية تُقدم ساخنة.,130,EGP,Regular,214 gram,,1
Cappuccino,كابتشينو,Hot Coffee,قهوة ساخنة,Espresso with steamed milk and a layer of frothed milk.,إسبريسو مع حليب مبخر وطبقة من الحليب المرغو.,149,EGP,Regular,215 gram,,1
Latte,لاتيه,Hot Coffee,قهوة ساخنة,Espresso coffee combined with steamed milk and a thin layer of milk foam.,قهوة إسبريسو ممزوجة بالحليب المبخر وطبقة رقيقة من رغوة الحليب.,149,EGP,Regular,216 gram,,1
American Coffee,قهوة أمريكية,Hot Coffee,قهوة ساخنة,Hot coffee prepared by diluting espresso with hot water.,قهوة ساخنة محضرة بتخفيف الإسبريسو بالماء الساخن.,118,EGP,Regular,217 gram,,1
Espresso,إسبريسو,Hot Coffee,قهوة ساخنة,A concentrated coffee beverage made by forcing hot water through finely ground coffee beans.,مشروب قهوة مركز يُصنع بضخ ماء ساخن عبر حبوب قهوة مطحونة ناعماً.,90,EGP,Regular,218 gram,,1
Salted Caramel,كراميل مملح,Hot Coffee,قهوة ساخنة,Caramel flavored with sea salt.,كراميل منكه بملح البحر.,144,EGP,Regular,219 gram,,1
After Eat,آفتر إيت,Hot Coffee,قهوة ساخنة,"A light, refreshing blend of seasonal fruits, served chilled.",مزيج خفيف ومنعش من الفاكهة الموسمية، يُقدم بارداً.,153,EGP,Regular,220 gram,,1
Double Espresso,إسبريسو دبل,Hot Coffee,قهوة ساخنة,A concentrated coffee beverage made from two shots of espresso.,مشروب قهوة مركز مصنوع من جرعتين من الإسبريسو.,115,EGP,Regular,221 gram,,1
Flat White,فلات وايت,Hot Coffee,قهوة ساخنة,Espresso with steamed milk and a thin layer of microfoam.,إسبريسو مع حليب مبخر وطبقة رقيقة من الميكروفوم.,149,EGP,Regular,222 gram,,1
Dash Blueberry,داش بلوبيري,Danish,دانش,"Fresh and crispy Dash Blueberry filled with delicious blueberry filling, topped with a layer of smooth cream and crystal sugar.",داش بلوبيري طازج ومقرمش محشو بحشوة بلوبيري لذيذة، مغطى بطبقة من الكريمة الناعمة والسكر الكريستالي.,139,EGP,Regular,223 gram,,1
Fresh Fruit Dash,داش الفاكهة الطازجة,Danish,دانش,"The fresh fruit dash is prepared with a crispy and crunchy dough, filled with a delicious mix of carefully selected seasonal fruits, served hot with a layer of shiny sugar glaze.",داش الفاكهة الطازجة يُحضر بعجينة مقرمشة وهشة، محشو بمزيج لذيذ من الفاكهة الموسمية المختارة بعناية، يُقدم ساخناً مع طبقة من الجلاز السكري اللامع.,139,EGP,Regular,224 gram,,1
Cinnamon Dash,داش القرفة,Danish,دانش,"The famous cinnamon dash, prepared with fresh, crispy dough stuffed with aromatic cinnamon and brown sugar, served warm with a layer of shiny sugar glaze.",داش القرفة الشهير، يُحضر بعجينة طازجة ومقرمشة محشوة بالقرفة العطرية والسكر البني، يُقدم دافئاً مع طبقة من الجلاز السكري اللامع.,139,EGP,Regular,225 gram,,1
Cheesecake,تشيز كيك,Desserts,حلويات,Soft cheesecake with a crispy biscuit layer and a touch of fruit sauce.,تشيز كيك ناعم بطبقة بسكويت مقرمشة ولمسة من صوص الفاكهة.,154,EGP,Regular,226 gram,,1
Brownie Cake,براوني كيك,Desserts,حلويات,"Dense, rich chocolate brownie pieces with a crispy outer shell.",قطع براوني شوكولاتة كثيفة وغنية بقشرة خارجية مقرمشة.,149,EGP,Regular,227 gram,,1
Fruit Salad,سلطة الفاكهة,Desserts,حلويات,"A refreshing mix of fresh, colorful fruits with natural flavors.",مزيج منعش من الفاكهة الطازجة الملونة بنكهات طبيعية.,160,EGP,Regular,228 gram,,1
Molten Cake,كيك مولتن,Desserts,حلويات,Warm chocolate cake filled with a liquid chocolaty center,كيك شوكولاتة دافئ محشو بمركز شوكولاتة سائل,166,EGP,Regular,229 gram,,1
Chicken Ranch,دجاج رانش,Chicken Sandwiches,ساندويتشات الدجاج,"Toasted bread, Crispy chicken burger, Ranch sauce, Iceberg Lettuce, Pickled cucumber Tomato, Served with fries",خبز محمص، برجر دجاج مقرمش، صوص رانش، خس أيسبرج، خيار مخلل، طماطم. يُقدم مع بطاطس,277,EGP,Regular,230 gram,,1
Chicken Crispy,دجاج كريسبي,Chicken Sandwiches,ساندويتشات الدجاج,"Toasted bread, Crispy chicken burger, Mayonnaise sauce, Iceberg Lettuce, Pickled cucumber, Smoked turkey, Tomato, Served with fries",خبز محمص، برجر دجاج مقرمش، صوص مايونيز، خس أيسبرج، خيار مخلل، ديك رومي مدخن، طماطم. يُقدم مع بطاطس,258,EGP,Regular,231 gram,,1
Super Chicken,سوبر شيكن,Chicken Sandwiches,ساندويتشات الدجاج,"Toasted bread, Crispy chicken burger, Stage sauce, Iceberg Lettuce Pickled cucumber, Smoked Turkey, Smoked beef, Mozzarella, Onion Rings, Tomato, Served with fries",خبز محمص، برجر دجاج مقرمش، صوص ستيج، خس أيسبرج، خيار مخلل، ديك رومي مدخن، لحم مدخن، موزاريلا، حلقات بصل، طماطم. يُقدم مع بطاطس,325,EGP,Regular,232 gram,,1
Chicken Cheese Lava,دجاج تشيز لافا,Chicken Sandwiches,ساندويتشات الدجاج,"Toasted bread, Crispy chicken burger, Stage sauce, Iceberg Lettuce, Tomato, Pickled cucumber Smoked turkey Mozzarella Sticks, Served with fries",خبز محمص، برجر دجاج مقرمش، صوص ستيج، خس أيسبرج، طماطم، خيار مخلل، ديك رومي مدخن، عيدان موزاريلا. يُقدم مع بطاطس,285,EGP,Regular,233 gram,,1
